Epoch,Label,Type,Value
1,Adjectives,Loss,0.705280900001526
2,Adjectives,Loss,0.703113913536072
3,Adjectives,Loss,0.627412736415863
4,Adjectives,Loss,0.483207911252975
5,Adjectives,Loss,0.431318342685699
6,Adjectives,Loss,0.40931361913681
7,Adjectives,Loss,0.397502660751343
8,Adjectives,Loss,0.388718456029892
9,Adjectives,Loss,0.382271587848663
10,Adjectives,Loss,0.37961757183075
1,Adjectives,Acc,0.503235101699829
2,Adjectives,Acc,0.500190019607544
3,Adjectives,Acc,0.670416831970215
4,Adjectives,Acc,0.798771977424622
5,Adjectives,Acc,0.83284330368042
6,Adjectives,Acc,0.84968900680542
7,Adjectives,Acc,0.854329168796539
8,Adjectives,Acc,0.857244312763214
9,Adjectives,Acc,0.860064387321472
10,Adjectives,Acc,0.860684454441071
1,Stop words,Loss,0.709394335746765
2,Stop words,Loss,0.541311621665955
3,Stop words,Loss,0.519994497299194
4,Stop words,Loss,0.484846353530884
5,Stop words,Loss,0.470597892999649
6,Stop words,Loss,0.449973255395889
7,Stop words,Loss,0.439592450857163
8,Stop words,Loss,0.403133571147919
9,Stop words,Loss,0.391513556241989
10,Stop words,Loss,0.400517970323563
1,Stop words,Acc,0.500299990177155
2,Stop words,Acc,0.718903779983521
3,Stop words,Acc,0.729609191417694
4,Stop words,Acc,0.762895524501801
5,Stop words,Acc,0.774550974369049
6,Stop words,Acc,0.787406504154205
7,Stop words,Acc,0.791706681251526
8,Stop words,Acc,0.820412814617157
9,Stop words,Acc,0.825097978115082
10,Stop words,Acc,0.813777565956116
1,Full set,Loss,0.397374093532562
2,Full set,Loss,0.346364617347717
3,Full set,Loss,0.326762586832046
4,Full set,Loss,0.320571094751358
5,Full set,Loss,0.312294751405716
6,Full set,Loss,0.307235300540924
7,Full set,Loss,0.308564275503159
8,Full set,Loss,0.308341056108475
9,Full set,Loss,0.306533098220825
10,Full set,Loss,0.298850625753403
1,Full set,Acc,0.84780889749527
2,Full set,Acc,0.872354865074158
3,Full set,Acc,0.882330298423767
4,Full set,Acc,0.886970460414887
5,Full set,Acc,0.889450550079346
6,Full set,Acc,0.891040623188019
7,Full set,Acc,0.891855657100678
8,Full set,Acc,0.893250703811646
9,Full set,Acc,0.894470751285553
10,Full set,Acc,0.895130813121796
1,Domains,Loss,0.693337142467499
2,Domains,Loss,0.664438486099243
3,Domains,Loss,0.698241055011749
4,Domains,Loss,0.376832455396652
5,Domains,Loss,0.347375959157944
6,Domains,Loss,0.33331099152565
7,Domains,Loss,0.310752362012863
8,Domains,Loss,0.311848133802414
9,Domains,Loss,0.309850782155991
10,Domains,Loss,0.304115861654282
1,Domains,Acc,0.526671051979065
2,Domains,Acc,0.51205050945282
3,Domains,Acc,0.503555119037628
4,Domains,Acc,0.86186945438385
5,Domains,Acc,0.878415107727051
6,Domains,Acc,0.884790420532227
7,Domains,Acc,0.886310458183289
8,Domains,Acc,0.888460516929626
9,Domains,Acc,0.891260623931885
10,Domains,Acc,0.891680657863617
